Region code,Region,Year,Gross enrollement ratio - Primary (male),Gross enrollment ratio - Primary (female),Gross enrollment ratio - Secondary (female),Gross enrollment ratio - Secondary (male),Gross enrollment ratio - Tertiary (female),Gross enrollment ratio - Tertiary (male),Students enrolled in primary education (thousands),Students enrolled in secondary education (thousands),Students enrolled in tertiary education (thousands)
678,Sao Tome and Principe,2015,110.85269999999998,106.00229999999999,86.21490000000001,77.9037,13.270299999999999,12.8438,35.558,22.123,2.3359999999999994
678,Sao Tome and Principe,2017,112.3682,108.0695,96.0126,83.4894,0,0,37.172000000000004,25.875,0
682,Saudi Arabia,2005,96.1711,94.7188,84.35849999999999,89.67269999999998,35.237100000000005,23.8461,3097.6,2609.57,603.7710000000001
682,Saudi Arabia,2009,105.46990000000001,102.83,88.6468,100.0457,35.3131,27.772299999999998,3255.24,2997.27,757.7700000000001
682,Saudi Arabia,2010,106.51610000000001,105.62129999999999,0,0,39.1002,34.002100000000006,3321.07,0,903.5669999999999
682,Saudi Arabia,2014,119.9539,116.3926,101.5363,131.34840000000003,57.6676,58.243900000000004,3737.08,3419.44,1496.73
682,Saudi Arabia,2015,120.1971,121.1032,0,0,60.865300000000005,60.274,3844.52,0,1527.77
682,Saudi Arabia,2016,117.263,115.1921,0,0,66.6994,66.5049,3734.69,0,1622.44
682,Saudi Arabia,2017,0,0,0,0,68.4791,69.367,0,0,1680.91
686,Senegal,2005,80.55229999999999,77.51790000000001,18.8674,25.2445,0,0,1444.1599999999999,405.899,59.127
686,Senegal,2010,80.8515,85.4358,33.258500000000005,38.1535,5.5022,9.3291,1695.01,725.2080000000001,92.106
686,Senegal,2014,79.4057,89.00410000000001,49.4962,49.5796,7.7498000000000005,13.0058,1926.74,1094.75,141.151
686,Senegal,2015,78.8373,88.31660000000001,0,0,7.8495,12.9817,1977.3899999999999,1136.48,144.82700000000003
686,Senegal,2017,78.04480000000001,90.37989999999999,47.4345,43.4493,8.4853,13.9427,2128.69,1082.33,162.635
688,Serbia,2005,102.4855,103.0238,89.95400000000001,87.29100000000001,50.0615,38.569,324.91299999999995,632.338,224.873
688,Serbia,2010,96.1326,95.647,92.3556,90.54490000000001,55.6278,42.8423,283.161,590.8299999999999,226.772
688,Serbia,2014,100.91140000000001,101.3633,95.4097,93.3401,66.01110000000001,50.505100000000006,284.754,548.158,242.848
688,Serbia,2015,101.45420000000001,101.2254,97.381,95.99810000000001,66.8779,50.160500000000006,279.21999999999997,553.448,241.054
688,Serbia,2017,100.2663,100.3626,95.87869999999998,95.1325,76.85529999999999,56.72800000000001,268.952,538.238,262.108
